"","Gen","ID","Path_name","pvalue"
"1","CDK1","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1",1.99186084826053e-06
"2","CDK1","R-HSA-1538133","G0 and Early G1",7.19061766218942e-06
"3","CDK1","R-HSA-69205","G1/S-Specific Transcription",9.20737677101435e-06
"4","CDK1","R-HSA-69206","G1/S Transition",0.000112042172713656
"5","CDK1","R-HSA-453279","Mitotic G1-G1/S phases",0.000149036008317616
"6","CDK1","R-HSA-170145","Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes",0.000705542010708049
"7","CDK1","R-HSA-69478","G2/M DNA replication checkpoint",0.000987689099861577
"8","CDK1","R-HSA-176417","Phosphorylation of Emi1",0.00112874770548199
"9","CDK1","R-HSA-113507","E2F-enabled inhibition of pre-replication complex formation",0.00126979635179825
"10","CDK1","R-HSA-2980767","Activation of NIMA Kinases NEK9, NEK6, NEK7",0.00126979635179825
"11","CDK1","R-HSA-69278","Cell Cycle, Mitotic",0.00161788897398507
"12","CDK1","R-HSA-2465910","MASTL Facilitates Mitotic Progression",0.0016928825349215
"13","CDK1","R-HSA-110056","MAPK3 (ERK1) activation",0.00183389134402068
"14","CDK1","R-HSA-2514853","Condensation of Prometaphase Chromosomes",0.00211587908430633
"15","CDK1","R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",0.00211587908430633
"16","CDK1","R-HSA-1640170","Cell Cycle",0.00231615571294497
"17","CDK1","R-HSA-162658","Golgi Cisternae Pericentriolar Stack Reorganization",0.00239782698737512
"18","CDK1","R-HSA-176412","Phosphorylation of the APC/C",0.00267973505322683
"19","CDK1","R-HSA-6804114","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",0.00296160328186168
"20","CDK1","R-HSA-113510","E2F mediated regulation of DNA replication",0.00310252245722265
"21","CDK1","R-HSA-174048","APC/C:Cdc20 mediated degradation of Cyclin B",0.00324343167327945
"22","CDK1","R-HSA-4419969","Depolymerisation of the Nuclear Lamina",0.00324343167327945
"23","CDK1","R-HSA-112409","RAF-independent MAPK1/3 activation",0.00394782836399976
"24","CDK1","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition",0.00451116644909999
"25","CDK1","R-HSA-3301854","Nuclear Pore Complex (NPC) Disassembly",0.00591881451055287
"26","CDK1","R-HSA-5689896","Ovarian tumor domain proteases",0.00605952454052483
"27","CDK1","R-HSA-6804757","Regulation of TP53 Degradation",0.00605952454052483
"28","CDK1","R-HSA-6806003","Regulation of TP53 Expression and Degradation",0.0064815948746153
"29","CDK1","R-HSA-2299718","Condensation of Prophase Chromosomes",0.0077472680744578
"30","CDK1","R-HSA-2980766","Nuclear Envelope Breakdown",0.00915262549593532
"31","CDK1","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes",0.00915262549593532
"32","CDK1","R-HSA-380284","Loss of proteins required for interphase microtubule organization from the centrosome",0.00999536190221839
"33","CDK1","R-HSA-380259","Loss of Nlp from mitotic centrosomes",0.00999536190221839
"34","CDK1","R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A",0.0101357831123674
"35","CDK1","R-HSA-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.0102761943632121
"36","CDK1","R-HSA-8854518","AURKA Activation by TPX2",0.0104165956547526
"37","CDK1","R-HSA-176409","APC/C:Cdc20 mediated degradation of mitotic proteins",0.0105569869869889
"38","CDK1","R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.0106973683599209
"39","CDK1","R-HSA-380270","Recruitment of mitotic centrosome proteins and complexes",0.0113991258350173
"40","CDK1","R-HSA-69473","G2/M DNA damage checkpoint",0.0113991258350173
"41","CDK1","R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase",0.0115394474521239
"42","CDK1","R-HSA-380287","Centrosome maturation",0.0116797591099261
"43","CDK1","R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint",0.0116797591099261
"44","CDK1","R-HSA-453276","Regulation of mitotic cell cycle",0.0126616618540238
