folio,entidad,desc_ent,munici,desc_mun,locali,desc_loc,code_upm,indiceF,nseF,nse5F,est_var,region_h,area,ponde_h,nd102_hog,nd103_hog,nd104_hog,nd105_hog,nd107_hog,nd109_hog,nd110_hog,nd111_hog,nd113_hog,nd118_hog,nd116_hog,nd126_hog,nd131_hog,nd142_hog,total_prog_nuevo,prog_recod,cat_Programas
010010001209A0020041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.354042272894212,3,5,223,2,1,6631.577854685762,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
010010001209A0020131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.501512192733703,3,5,223,2,1,6631.577854685762,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0020161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.57555312239899,3,5,223,2,1,6631.577854685762,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0080071,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,3.2816467380729226,3,5,223,2,1,6737.966804226175,1,0,0,1,1,0,0,,0,0,0,,,0,1,1,1
010010001209A0080101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.789911264947576,3,5,223,2,1,6737.966804226175,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
010010001209A0080151,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,3.0022634361329406,3,5,223,2,1,6737.966804226175,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0120041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.282947209241147,3,5,223,2,1,6501.54691635859,0,0,,,,0,0,,0,0,,,,0,0,0,0
010010001209A0120121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.8560319335767805,3,5,223,2,1,6501.54691635859,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0120171,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.4962098425519246,3,5,223,2,1,6501.54691635859,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0210011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,3.0692945668875584,3,5,223,2,1,4501.070942094408,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0210051,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.8560319335767805,3,5,223,2,1,4501.070942094408,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0210081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.8560319335767805,3,5,223,2,1,4501.070942094408,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0210121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,3.0022634361329406,3,5,223,2,1,4501.070942094408,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
010010001209A0260041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,1.7738674383053836,3,5,223,2,1,9142.800351129268,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0260141,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,1.5126206612879884,3,5,223,2,1,9142.800351129268,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0310011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,3.2816467380729226,3,5,223,2,1,5809.892989086399,0,0,0,,,0,0,,0,0,0,,,0,0,0,0
010010001209A0310031,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.2168265406119425,3,5,223,2,1,5809.892989086399,0,0,,,,0,0,,0,0,1,,,0,1,1,1
010010001209A0310071,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,3.0692945668875584,3,5,223,2,1,5809.892989086399,0,0,,1,1,0,0,,0,0,0,,,0,0,0,0
010010001209A0310131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o72,2.2961698204590073,3,5,223,2,1,5809.892989086399,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0010211,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.2565032189910812,2,3,222,2,1,6159.391469162433,0,0,,,,0,0,,0,0,1,,,0,1,1,1
010010001262A0010361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.6326103307730842,3,5,222,2,1,6159.391469162433,0,0,0,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0080121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.8776221092671203,3,4,222,2,1,4979.898032353701,0,1,0,0,0,0,0,0,0,0,,,,0,1,1,1
010010001262A0080181,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.38500918144527085,2,3,222,2,1,4979.898032353701,0,0,0,1,1,0,0,1,0,0,,,,0,0,0,0
010010001262A0080251,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,2.282947209241147,3,5,222,2,1,4979.898032353701,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0080311,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,2.647743695289863,3,5,222,2,1,4979.898032353701,0,0,0,1,1,0,0,0,0,0,,,,0,0,0,0
010010001262A0080371,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.025203057945265,3,4,222,2,1,4979.898032353701,0,0,0,1,1,0,0,0,0,0,,,,0,0,0,0
010010001262A0080441,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,-0.16011071738752342,2,3,222,2,1,4979.898032353701,1,0,,,,0,0,,0,0,0,,,0,1,1,1
010010001262A0130041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.6381324092249454,3,5,222,2,1,3447.217952830875,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0130151,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.36138066753590614,2,3,222,2,1,3447.217952830875,0,0,0,0,0,0,0,,0,1,,1,,0,1,1,1
010010001262A0130201,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.7311856447805445,3,5,222,2,1,3447.217952830875,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0130261,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.9444482780913224,3,5,222,2,1,3447.217952830875,0,0,1,0,0,0,0,0,0,0,,,,0,1,1,1
010010001262A0130311,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,-0.702507621365295,1,2,222,2,1,3447.217952830875,0,0,,,,0,0,,0,0,1,,,0,1,1,1
010010001262A0130361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.1608231386816943,3,4,222,2,1,3447.217952830875,0,0,0,0,0,0,0,,0,1,0,0,,0,1,1,1
010010001262A0170051,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.7119536106201492,3,5,222,2,1,3110.130761872751,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0170081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.5342598119320887,2,4,222,2,1,3110.130761872751,0,0,0,0,,0,0,,0,1,0,1,,1,2,2,1
010010001262A0170131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,2.0204042967248688,3,5,222,2,1,3110.130761872751,0,0,,0,1,0,0,1,0,0,,,,1,1,1,1
010010001262A0170161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.6190975504865082,2,4,222,2,1,3110.130761872751,0,0,,0,1,0,0,,0,1,,,,0,1,1,1
010010001262A0170191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.6326103307730842,3,5,222,2,1,3110.130761872751,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0
010010001262A0220031,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.493388627127593,3,5,222,2,1,4901.008558573841,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0220121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.8623067997688652,3,5,222,2,1,4901.008558573841,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0
010010001262A0280211,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.1388688862845155,3,4,222,2,1,5596.889965129333,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0
010010001262A0280291,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.2279439430657116,2,3,222,2,1,5596.889965129333,0,0,,0,1,0,0,,0,1,,,,0,1,1,1
010010001262A0280361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.6190975504865082,2,4,222,2,1,5596.889965129333,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0280431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,0.2279439430657116,2,3,222,2,1,5596.889965129333,0,0,,,,0,0,,0,0,0,,,0,0,0,0
010010001262A0280511,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o50,1.192293303660795,3,4,222,2,1,5596.889965129333,0,0,0,1,1,0,0,,0,1,0,0,,0,1,1,1
01001000127230010011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,2.2221288907937207,3,5,223,2,1,1884.5063525677067,0,0,0,1,1,0,0,1,0,0,0,,,0,0,0,0
01001000127230010041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.8161344121736172,3,5,223,2,1,1884.5063525677067,0,0,0,0,0,0,0,,0,0,,,,1,1,1,1
01001000127230010131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.1073445362677221,3,4,223,2,1,1884.5063525677067,0,0,,,,0,0,,0,0,0,,,0,0,0,0
01001000127230010191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,1.5982877822808983,3,5,223,2,1,1884.5063525677067,0,0,0,0,,0,0,,0,0,0,,,1,1,1,1
01001000127230070011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,2o71,-0.2624604409769161,2,3,223,2,1,2295.106260983067,0,0,,,,0,0,,0,0,1,,,0,1,1,1
