folio,entidad,desc_ent,munici,desc_mun,locali,desc_loc,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108,sa108a,sa109,sa110,sa111,sa112,sa113,sa114,sa115,code_upm,est_var,region_h,ponde_f,sum_total,niv_seg,area
010010001209A0020041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,2o72,223,2,7139.536250144179,10,2,1
010010001209A0020131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,7139.536250144179,0,0,1
010010001209A0020161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,7139.536250144179,0,0,1
010010001209A0080071,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o72,223,2,7254.074264852374,1,1,1
010010001209A0080101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o72,223,2,7254.074264852374,0,0,1
010010001209A0080151,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,7254.074264852374,0,0,1
010010001209A0120041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,1,0,0,1,0,,,,,,,,2o72,223,2,6999.545343278607,5,2,1
010010001209A0120121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,6999.545343278607,0,0,1
010010001209A0120171,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,6999.545343278607,0,0,1
010010001209A0210011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,0,0,0,0,0,0,,,,,,,,2o72,223,2,4845.839083808266,2,1,1
010010001209A0210051,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,4845.839083808266,0,0,1
010010001209A0210081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,4845.839083808266,0,0,1
010010001209A0210121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o72,223,2,4845.839083808266,0,0,1
010010001209A0260041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o72,223,2,9843.110638985541,0,0,1
