idinsert,folio,int,entidad,desc_ent,munici,desc_mun,locali,desc_loc,maq,completa,sexo,edad,meses,intsel,intsel2,eti001,eti002,eti003,eti101,eti102,eti102a_v1,eti102b_v1,eti102c_v1,eti102d_v1,eti102e_v1,eti102a_v2,eti102b_v2,eti102c_v2,eti102d_v2,eti102e_v2,eti102_1,eti103,eti104a,eti104b,eti104c,eti104d,eti1041a,eti1041b,eti1041c,eti1041d,eti1041e,eti1041f,eti1041g,eti1041esp,eti1042a,eti1042b,eti1042c,eti1042d,eti1042e,eti1042f,eti1042g,eti1042esp,eti105a,eti105b,eti105c,eti105d,eti105e,eti105f,eti105g,eti105h,eti105i,eti105j,eti105k,eti105l,eti105m,eti105n,eti105o,eti105p,eti105q,eti106a,eti106b,eti106c,eti106d,eti106e,eti107,eti108a,eti108b,eti108c,eti108d,eti108e,eti108f,eti108g,eti108esp,eti108h,eti109a,eti109b,eti109c,eti109d,eti109e,eti109f,eti109g,eti109esp,eti109h,eti110a,eti110b,eti110c,eti110d,eti110e,eti110f,eti110g,eti110esp,eti110h,eti111a,eti111b,eti111c,eti111d,TIEMPO_GEN,origen,c1,est_var,region_h,code_upm,rural,ponde_f,version,p6_figura1,p6_figura2,p6_ninguno,p6_NoSabeNoResp,p6_leen,edad1
1074937,010010001262A0010211,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC035,1,1,74,2,1,10,8,8,2,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,0,1,222,2,2o50,2,13737.96350641462,2,0,0,0,0,0,5
1074242,010010001262A0080441,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC033,1,2,76,8,1,10,8,8,2,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,0,1,222,2,2o50,2,5829.435595171016,2,0,0,0,0,0,5
1074241,010010001262A0130041,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC033,1,2,52,0,1,,8,8,2,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,0,1,222,2,2o50,2,3667.297027206714,2,0,0,0,0,0,4
1074219,01001000127230010011,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC033,1,1,60,9,1,10,8,8,2,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,0,1,223,2,2o71,2,7269.105577646321,2,0,0,0,0,0,5
1074905,01001000127230380521,2,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC035,1,2,63,2,1,10,8,8,2,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,0,1,223,2,2o71,2,6910.748877536896,2,0,0,0,0,0,5
1074964,01001000127230130241,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC035,1,2,79,1,1,,3,8,2,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/04,0,1,223,2,2o71,2,2280.4184628099447,2,0,0,0,0,0,5
1074215,010010001262A0080121,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC033,1,2,41,10,1,,8,8,1,2,,,,,,,0,0,0,0,0,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,5,5,4,4,2016/10/04,0,1,222,2,2o50,2,9977.564916465233,2,0,0,0,0,0,3
1073628,010010001262A0170051,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC031,1,2,64,11,1,,8,8,1,2,,,,,,,0,0,0,0,0,5,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,5,1,4,2016/10/04,0,1,222,2,2o50,2,3308.6893411754268,2,0,0,0,0,0,5
1073610,010010001262A0170161,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC031,1,2,48,0,1,,8,8,1,2,,,,,,,0,0,0,0,0,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,4,4,4,4,2016/10/04,0,1,222,2,2o50,2,3115.6794148869435,2,0,0,0,0,0,3
1073575,01001000127230320101,1,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,MC031,1,1,61,8,1,15,8,8,1,2,,,,,,,0,0,0,0,0,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,4,3,2,2016/10/04,0,1,223,2,2o71,2,9478.970518651216,2,0,0,0,0,0,5
