folio_sel,intp,dias1,gpo_diversidad1,dias2,gpo_diversidad2,dias3,gpo_diversidad3,dias4,gpo_diversidad4,dias5,gpo_diversidad5,dias6,gpo_diversidad6,dias7,gpo_diversidad7,dias8,gpo_diversidad8,dias9,gpo_diversidad9,dias10,gpo_diversidad10,dias11,gpo_diversidad11,dias12,gpo_diversidad12,dias13,gpo_diversidad13,entidad,desc_ent,munici,locali,est_var,region,code_upm,ponde_f,sexo,edad,emb,r_estrato,area,diversidad
010010001209A0080071,3,4,0,1,0,5,1,4,1,1,0,15,1,9,1,1,0,7,1,0,0,4,1,3,1,6,0,01,AGUASCALIENTES,001,0001,223,2,2o72,14719.8798828125,1,16,,3,2,7
010010001209A0080101,2,23,1,3,1,7,1,0,0,1,0,6,1,7.5,1,4,1,7,1,3,1,6,1,3,1,24.5,1,01,AGUASCALIENTES,001,0001,223,2,2o72,24174.609375,2,13,,3,2,11
010010001209A0210121,3,9,1,0,0,1,0,5.5,1,10,1,8,1,6,1,6.5,1,7,1,0,0,7,1,0,0,3,0,01,AGUASCALIENTES,001,0001,223,2,2o72,4703.490234375,2,19,4,3,2,8
010010001209A0310011,4,10.5,1,0,0,4,1,5.5,1,1,0,3,1,2,0,4,1,7,1,0,0,1,0,4,1,7,1,01,AGUASCALIENTES,001,0001,223,2,2o72,7134.31982421875,1,14,,3,2,8
010010001262A0080121,3,1,0,0,0,4,1,0,0,1,0,2,0,0,0,3,1,0,0,0,0,3,1,3,1,0,0,01,AGUASCALIENTES,001,0001,222,2,2o50,7583.990234375,2,16,4,2,2,4
010010001262A0130151,3,2,0,0,0,6,1,0,0,1,0,20,1,12.5,1,7,1,7,1,7,1,8.5,1,3,1,0,0,01,AGUASCALIENTES,001,0001,222,2,2o50,5097.39013671875,1,12,,2,2,8
010010001262A0170191,3,2,0,3,1,3,1,0,0,1,0,7,1,1,0,10,1,3,0,1,0,11,1,1,0,3,0,01,AGUASCALIENTES,001,0001,222,2,2o50,4598.93994140625,1,12,,2,2,5
010010001262A0220121,4,8,1,7,1,2,0,3,1,2,0,1,0,3,1,4,1,7,1,0,0,7,1,3,1,4,0,01,AGUASCALIENTES,001,0001,222,2,2o50,14400.4599609375,1,18,,2,2,8
010010001262A0220151,2,3,0,3,1,1,0,0,0,0,0,1,0,4,1,2,0,5.5,0,5.5,1,7,1,0,0,0,0,01,AGUASCALIENTES,001,0001,222,2,2o50,14400.4599609375,1,17,,2,2,4
010010001262A0280511,5,3,0,5.5,1,2,0,3,1,1,0,9,1,0,0,1,0,7,1,1,0,0,0,0,0,3,0,01,AGUASCALIENTES,001,0001,222,2,2o50,8523.6201171875,2,17,4,2,2,4
01001000127230010041,3,5,0,0,0,0,0,3,1,5,1,8,1,0,0,7,1,7,1,0,0,8.5,1,1,0,3,0,01,AGUASCALIENTES,001,0001,223,2,2o71,5907.77001953125,2,18,,3,2,6
01001000127230070361,2,9,1,0,0,3,1,0,0,1,0,2,0,0,0,5,1,3,0,0,0,9,1,3,1,11.5,1,01,AGUASCALIENTES,001,0001,223,2,2o71,4796.64013671875,2,16,4,3,2,6
01001000127230070541,2,0,0,3,1,4,1,0,0,3,1,1,0,1,0,5.5,1,1,0,1,0,3,1,0,0,4,0,01,AGUASCALIENTES,001,0001,223,2,2o71,8234.4296875,2,12,4,3,2,5
