folio_sel,folio,code_upm,ponde_f,sexo,edad,rural,intp,dias1,gpo_diversidad1,recomendable1,dias2,gpo_diversidad2,recomendable2,dias3,gpo_diversidad3,recomendable3,dias4,gpo_diversidad4,recomendable4,dias5,gpo_diversidad5,recomendable5,dias6,gpo_diversidad6,recomendable6,dias7,gpo_diversidad7,recomendable7,dias8,gpo_diversidad8,recomendable8,dias9,gpo_diversidad9,recomendable9,dias10,gpo_diversidad10,recomendable10,dias11,gpo_diversidad11,recomendable11,dias12,gpo_diversidad12,recomendable12,dias13,gpo_diversidad13,recomendable13,est_var,region_h,diversidad
010010001209A0020131,010010001209A0020131.01,2o72,46318.9296875,1,67,2,1,21,1,1,4,1,1,10,1,1,1,0,0,3,1,0,4,1,0,,0,,8,1,0,7,1,1,1,0,0,14,1,1,3,1,1,17,1,1,223,2,10
010010001209A0020161,010010001209A0020161.01,2o72,6437.08984375,1,55,2,1,12,1,1,,0,,11,1,1,,0,,,0,,3,1,0,6,1,0,3,1,0,7,1,1,3,1,0,9,1,1,1,0,1,12,1,1,223,2,9
010010001209A0080071,010010001209A0080071.02,2o72,12460.830078125,2,44,2,2,4,0,1,,0,,3,1,1,,0,,2,0,0,2,0,0,3,1,0,16.5,1,0,7,1,1,3,1,0,,0,,,0,,12,1,1,223,2,6
010010001209A0080101,010010001209A0080101.01,2o72,6230.419921875,2,47,2,1,26.5,1,1,3,1,1,7,1,1,,0,,1,0,0,3,1,0,4,1,0,3,1,0,7,1,1,,0,,10,1,1,3,1,1,14.5,1,1,223,2,10
010010001209A0080151,010010001209A0080151.01,2o72,26161.4296875,1,64,2,1,19.5,1,1,3,1,1,6,1,1,,0,,,0,,10,1,0,4,1,0,6,1,0,1,0,1,3,1,0,,0,,3,1,1,20,1,1,223,2,9
010010001209A0120041,010010001209A0120041.01,2o72,6310.8701171875,1,36,2,1,13.5,1,1,3,1,1,3,1,1,,0,,3,1,0,8,1,0,4,1,0,,0,,7,1,1,,0,,6,1,1,3,1,1,,0,,223,2,9
010010001209A0120121,010010001209A0120121.01,2o72,8323.0703125,2,86,2,1,21,1,1,1,0,1,6,1,1,,0,,,0,,7,1,0,10,1,0,14,1,0,7,1,1,7,1,0,3,1,1,,0,,1,0,1,223,2,8
010010001209A0120171,010010001209A0120171.02,2o72,18035.41015625,2,63,2,2,6.5,0,1,1,0,1,9,1,1,,0,,,0,,,0,,,0,,3,1,0,7,1,1,,0,,19.5,1,1,7,1,1,34.5,1,1,223,2,6
010010001209A0210011,010010001209A0210011.01,2o72,4162.02001953125,2,55,2,1,9,1,1,3,1,1,10,1,1,3,1,0,,0,,7,1,0,,0,,3,1,0,1,0,1,3,1,0,10,1,1,3,1,1,21,1,1,223,2,10
010010001209A0210051,010010001209A0210051.01,2o72,4369.06005859375,1,60,2,1,14,1,1,6,1,1,6,1,1,,0,,1,0,0,6.5,1,0,1,0,0,2,0,0,7,1,1,1,0,0,14,1,1,1,0,1,21.5,1,1,223,2,7
010010001209A0210081,010010001209A0210081.01,2o72,4162.02001953125,2,56,2,1,41,1,1,,0,,10,1,1,5.5,1,0,1,0,0,14,1,0,3,1,0,,0,,7,1,1,,0,,19.5,1,1,3,1,1,49.5,1,1,223,2,9
010010001209A0210121,010010001209A0210121.02,2o72,8324.0400390625,2,44,2,2,11,1,1,,0,,1,0,1,3,1,0,,0,,,0,,3,1,0,3,1,0,7,1,1,1,0,0,3,1,1,3,1,1,13,1,1,223,2,8
010010001209A0260041,010010001209A0260041.01,2o72,26623.990234375,1,62,2,1,2,0,1,,0,,4,1,1,,0,,1,0,0,1,0,0,,0,,8,1,0,,0,,1,0,0,,0,,,0,,,0,,223,2,2
010010001209A0260141,010010001209A0260141.01,2o72,21286.26953125,1,68,2,1,4,0,1,7,1,1,4,1,1,,0,,1,0,0,,0,,,0,,,0,,3,0,1,7,1,0,,0,,,0,,24,1,1,223,2,4
010010001209A0310011,010010001209A0310011.02,2o72,11156.4501953125,2,69,2,2,20.5,1,1,3,1,1,9,1,1,,0,,1,0,0,3,1,0,1,0,0,7,1,0,7,1,1,,0,,,0,,,0,,26,1,1,223,2,7
010010001209A0310031,010010001209A0310031.01,2o72,3718.820068359375,2,87,2,1,18,1,1,3,1,1,5,1,1,,0,,,0,,8,1,0,10,1,0,,0,,7,1,1,,0,,17,1,1,3,1,1,5,0,1,223,2,8
010010001209A0310071,010010001209A0310071.02,2o72,16116.75,2,45,2,2,7,1,1,,0,,1,0,1,,0,,3,1,0,4,1,0,,0,,7,1,0,7,1,1,3,1,0,,0,,,0,,3,0,1,223,2,6
010010001209A0310131,010010001209A0310131.01,2o72,3718.820068359375,2,83,2,1,11,1,1,5.5,1,1,4,1,1,3,1,0,1,0,0,6,1,0,7,1,0,,0,,7,1,1,,0,,7,1,1,3,1,1,6,0,1,223,2,9
010010001262A0010211,010010001262A0010211.01,2o50,13719.080078125,1,74,2,1,,0,,11,1,1,1,0,1,,0,,,0,,,0,,,0,,7,1,0,7,1,1,,0,,,0,,,0,,14,1,1,222,2,4
010010001262A0080121,010010001262A0080121.01,2o50,9832.1396484375,2,41,2,1,12.5,1,1,,0,,9,1,1,,0,,1,0,0,9.5,1,0,3,1,0,11,1,0,7,1,1,,0,,7,1,1,,0,,16,1,1,222,2,8
010010001262A0080251,010010001262A0080251.02,2o50,9832.1396484375,2,58,2,2,18,1,1,12.5,1,1,1,0,1,,0,,1,0,0,,0,,3,1,0,3,1,0,7,1,1,,0,,6,1,1,3,1,1,15,1,1,222,2,8
010010001262A0080371,010010001262A0080371.01,2o50,11191.6201171875,1,25,2,1,2,0,1,3,1,1,6,1,1,,0,,2,0,0,4,1,0,,0,,7,1,0,7,1,1,1,0,0,3,1,1,1,0,1,7,1,1,222,2,7
010010001262A0080441,010010001262A0080441.01,2o50,5692.25,2,76,2,1,4,0,1,,0,,6,1,1,,0,,,0,,11,1,0,1,0,0,5,1,0,7,1,1,3,1,0,3,1,1,,0,,10,1,1,222,2,7
010010001262A0130041,010010001262A0130041.01,2o50,3403.0400390625,2,52,2,1,14,1,1,,0,,,0,,,0,,,0,,3,1,0,,0,,12.5,1,0,7,1,1,,0,,3,1,1,,0,,2,0,1,222,2,5
010010001262A0130151,010010001262A0130151.02,2o50,10139.6904296875,2,28,2,2,4,0,1,,0,,6,1,1,,0,,4,1,0,10,1,0,2,0,0,7,1,0,7,1,1,,0,,1,0,1,3,1,1,3,0,1,222,2,6
010010001262A0130201,010010001262A0130201.01,2o50,5196.1298828125,1,56,2,1,7,1,1,6,1,1,4,1,1,,0,,,0,,,0,,1,0,0,6,1,0,7,1,1,,0,,1,0,1,1,0,1,9,1,1,222,2,6
