idinsert,folio,integrante,entidad,munici,locali,maq,sexo,edad,meses,intsel,intsel2,perc101,perc102,perc103,perc104,perc104aj,perc105aj,perc105,perc106,perc107,perc108,perc109,perc110,perc110aj,perc111,perc111aj,perc112,perc113,perc114,perc115,perc116,perc117,perc118,perc119,perc120,perc121,perc122,perc123,perc124,perc125,perc126,perc127,perc128,perc129,perc130,perc131,perc132,perc133,perc134,perc135,perc136,perc137,perc138,perc139,perc140,perc141,perc142,perc143,perc144,perc145,perc146,perc147,perc148,perc149,perc150,perc151,perc152,perc153,perc154,perc155,perc156,perc157,perc158,perc159,perc160,perc161,perc162,perc163,perc164,tiempo_gen,est_var,region_h,code_upm,rural,c1,ponde_f,etapa_af,etapa_fv
1065221,010010001209A0020161,1,01,001,0001,MC035,1,55,3,1,10,1,1,,1,1,1,1,1,1,1,,2,2,1,1,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,3,3,3,1,1,1,1,2,1,3,3,3,2,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2016/10/25,223,2,2o72,2,1,6953.63892923517,5,3
1064469,010010001209A0080071,2,01,001,0001,MC033,2,44,11,1,,2,1,,1,1,1,1,2,2,1,,2,2,2,2,2,3,2,2,3,1,2,1,1,2,2,1,1,2,1,1,2,2,1,4,2,3,3,3,2,2,3,2,1,1,1,1,2,1,3,3,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2016/10/25,223,2,2o72,2,1,21896.112402333656,5,3
1064546,010010001209A0080101,1,01,001,0001,MC033,2,47,1,1,,2,2,1,,2,2,,2,1,1,,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,4,4,4,88,1,1,1,1,1,4,,2,1,3,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2016/10/25,223,2,2o72,2,1,10948.056201166828,2,5
1065273,010010001209A0120041,1,01,001,0001,MC035,1,36,3,1,,1,1,,2,2,1,1,2,2,2,1,,2,,2,2,1,3,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,1,3,3,3,4,1,3,3,1,1,1,1,1,2,3,2,3,1,2,1,1,1,88,1,1,1,2,2,1,1,1,2,2,2016/10/25,223,2,2o72,2,1,6817.293067877617,3,2
1063861,010010001209A0210011,1,01,001,0001,MC031,2,55,5,1,10,1,1,,1,1,1,1,1,1,1,,2,2,1,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,3,3,1,4,3,4,2,1,1,1,1,1,1,4,,2,2,2,2,3,1,1,1,1,1,1,2,1,1,1,2,1,2016/10/25,223,2,2o72,2,1,7313.478838836139,5,3
1063913,010010001209A0210081,1,01,001,0001,MC031,2,56,7,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,2,3,3,3,4,2,4,3,2,1,1,1,1,1,2,88,3,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2016/10/25,223,2,2o72,2,1,7313.478838836139,5,5
1063857,010010001209A0210121,2,01,001,0001,MC031,2,44,9,1,10,1,1,,1,1,1,1,1,1,1,,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,1,2,3,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2016/10/25,223,2,2o72,2,1,14626.957677672279,5,3
1063862,010010001209A0310071,2,01,001,0001,MC031,2,45,7,1,10,1,1,,1,1,1,1,1,1,1,,2,2,1,1,1,1,3,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,3,2,3,2,2,4,2,4,1,88,1,1,1,2,1,4,,2,3,3,2,2,1,2,1,88,1,1,2,2,1,1,1,2,2016/10/25,223,2,2o72,2,1,28320.279758897388,5,3
1064508,010010001262A0080121,1,01,001,0001,MC033,2,41,10,1,,1,2,1,,2,2,,1,1,1,,2,2,1,1,2,4,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,2,3,1,2,3,3,1,2,4,2,1,1,1,1,1,1,3,1,3,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2016/10/25,222,2,2o50,2,1,9840.693401615312,2,3
1064543,010010001262A0080251,2,01,001,0001,MC033,2,58,11,1,10,2,1,,1,1,2,2,2,2,1,,2,2,1,1,2,2,3,3,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,3,2,1,3,1,4,3,3,1,1,1,1,1,1,1,3,2,3,2,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,2016/10/25,222,2,2o50,2,1,9840.693401615312,4,3
1064548,010010001262A0080311,2,01,001,0001,MC033,2,28,4,1,12,1,1,,1,1,1,1,1,2,1,,2,2,2,2,1,1,2,2,3,2,2,1,1,2,2,1,2,1,1,1,2,2,1,4,1,3,3,2,1,1,4,3,1,1,1,1,2,1,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2016/10/25,222,2,2o50,2,1,15020.156420017121,5,3
1064536,010010001262A0080371,1,01,001,0001,MC033,1,25,8,1,,1,2,1,,2,2,,2,2,1,,2,2,1,1,1,2,1,3,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,4,3,2,3,2,1,2,3,2,1,1,1,1,1,1,3,2,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2016/10/25,222,2,2o50,2,1,10965.880645337715,2,3
1064534,010010001262A0130041,1,01,001,0001,MC033,2,52,0,1,,2,2,1,,2,2,,2,2,1,,2,2,1,1,2,1,1,2,4,2,2,1,2,2,1,2,2,1,1,2,1,1,2,3,2,2,3,1,4,2,3,2,1,1,1,1,1,2,3,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2016/10/25,222,2,2o50,2,1,3405.994936237605,2,3
1064529,010010001262A0130151,2,01,001,0001,MC033,2,28,5,1,,2,2,1,,2,2,,2,2,1,,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,3,2,3,3,2,2,2,4,3,2,2,2,2,1,1,2,3,3,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2016/10/25,222,2,2o50,2,1,10397.35201986429,2,3
1064545,010010001262A0130201,1,01,001,0001,MC033,1,56,2,1,10,2,1,,2,2,2,2,1,1,1,,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,3,1,3,3,3,4,2,4,1,1,1,1,1,1,1,3,4,3,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2016/10/25,222,2,2o50,2,1,5390.411844320142,3,3
