folio,int,idinsert,entidad,munici,locali,sexo,edad,intsel,intsel2,completa,cam00,cam01,cam02,cam03,cam04a,cam04b,cam04c,cam04d,cam04e,cam04f,cam04esp,cam04g,cam05a,cam05b,cam05c,cam05d,cam05e,cam05f,cam05g,cam05esp,cam05h,cam05i,cam06,cam07,cam08,cam09,cam10,cam11,cam12,cam13,TIEMPO_GEN,region_h,code_upm,est_var,ponde_f,h218a,h218b,gp_edad,CHECATE,MIDETE,MUEVETE,Area
010010001209A0020131,1,1065185,01,001,0001,1,67,1,,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,2,5,3,3,3,2,1,1,2016/10/04,2,2o72,223,43373.42117755934,11,3,3,0,0,1,1
010010001209A0020161,1,1065221,01,001,0001,1,55,1,10,1,4,1,2,1,0,0,0,0,0,1,CAMPAÑAS LABORALES,0,0,1,0,1,0,0,0,,0,0,1,3,1,1,3,3,3,2,2016/10/04,2,2o72,223,8391.317019681057,11,3,2,1,0,1,1
010010001209A0080071,2,1064469,01,001,0001,2,44,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,3,3,1,2016/10/04,2,2o72,223,19322.450960179864,10,5,2,1,1,1,1
010010001209A0080101,1,1064546,01,001,0001,2,47,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,2,3,2,2016/10/04,2,2o72,223,9661.225480089932,10,4,2,1,0,1,1
010010001209A0080151,1,1064461,01,001,0001,1,64,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,2,3,1,1,2,3,99,2016/10/04,2,2o72,223,34103.7483152813,10,5,3,0,0,1,1
010010001209A0120041,1,1065273,01,001,0001,1,36,1,,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,3,4,2,2,3,2,2016/10/04,2,2o72,223,5216.823760456901,4,3,1,0,0,0,1
010010001209A0120121,1,1065196,01,001,0001,2,86,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,2,3,2,2016/10/04,2,2o72,223,9943.626879593257,11,3,3,1,0,1,1
010010001209A0120171,2,1065188,01,001,0001,2,63,1,10,1,4,1,1,2,,,,,,,,,0,1,1,0,0,0,0,,0,0,1,2,1,1,3,3,3,3,2016/10/04,2,2o72,223,16287.949049381152,10,6,3,0,0,1,1
010010001209A0210011,1,1063861,01,001,0001,2,55,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,1,3,1,1,3,2,3,1,2016/10/04,2,2o72,223,3758.7574729341104,10,5,2,1,0,1,1
010010001209A0210051,1,1063912,01,001,0001,1,60,1,10,1,4,1,2,1,0,0,0,0,0,1,OFICINA,0,0,1,0,0,0,0,0,,0,0,1,3,2,1,3,3,3,2,2016/10/04,2,2o72,223,5695.464040507504,10,5,3,1,0,1,1
