"","GeneSymbol","DATE.ADDED.TO.CATALOG","PUBMEDID","FIRST.AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","REPLICATION.SAMPLE.SIZE","REGION","CHR_ID","CHR_POS","REPORTED.GENE.S.","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST.SNP.RISK.ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK.ALLELE.FREQUENCY","P.VALUE","PVALUE_MLOG","P.VALUE..TEXT.","OR.or.BETA","X95..CI..TEXT.","PLATFORM..SNPS.PASSING.QC.","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY.ACCESSION","GENOTYPING.TECHNOLOGY"
"1","C12orf79","2016-06-13",25325441,"Baik I","2015-07-01","Sleep","www.ncbi.nlm.nih.gov/pubmed/25325441","Associations of Sleep Apnea, NRG1 Polymorphisms, Alcohol Consumption, and Cerebral White Matter Hyperintensities: Analysis with Genome-Wide Association Data.","Obstructive sleep apnea","235 Korean ancestry cases, 235 Korean ancestry controls",NA,"12q21.33",12,92014509,"C12orf79","LINC01619","","","ENSG00000257242",NA,NA,"rs10777373-?","rs10777373",0,10777373,"intron_variant",0,"",5e-06,5.30102999566398,"(dominant model)",2.3809524,"[1.64-3.45]","Affymetrix [319517] (imputed)","N","obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0003918","GCST003012","Genome-wide genotyping array"
"2","MEIS1","2017-09-11",28604731,"Hammerschlag AR","2017-06-12","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/28604731","Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.","Insomnia complaints (dichotomous)","32,384 European ancestry cases,  27,128 European ancestry controls",NA,"2p14",2,66523432,"MEIS1","MEIS1","","","ENSG00000143995",NA,NA,"rs113851554-?","rs113851554",0,113851554,"intron_variant",0,"",2e-19,18.698970004336,"",1.27,"[1.21-1.34]","Affymetrix [at least 12428592] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST004702","Genome-wide genotyping array"
"3","BCL11A","2013-08-29",23646285,"Khor SS","2013-04-16","PeerJ","www.ncbi.nlm.nih.gov/pubmed/23646285","Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.","Hypersomnia (HLA-DQB1*06:02 negative)","125 Japanese ancestry cases, 562 Japanese ancestry controls","","2p16.1",2,60232671,"BCL11A","AC007100.1 - AC007381.1","ENSG00000271955","ENSG00000228590","",132471,103775,"rs359268-C","rs359268",0,359268,"intergenic_variant",1,"0.431",1e-06,6,"(recessive)",2.81,"[1.84-4.30]","Affymetrix [508366] (imputed)","N","hypersomnia","http://www.ebi.ac.uk/efo/EFO_0005246","GCST001971","Genome-wide genotyping array"
"4","CPT1B","2008-10-14",18820697,"Miyagawa T","2008-09-28","Nat Genet","www.ncbi.nlm.nih.gov/pubmed/18820697","Variant between CPT1B and CHKB associated with susceptibility to narcolepsy.","Narcolepsy","222 Japanese ancestry cases, 389 Japanese ancestry controls","274 East Asian ancestry cases, 499 East Asian ancestry controls, 388 European ancestry cases, 397 European ancestry controls, 86 African American cases, 98 African American controls","22q13.33",22,50578924,"CPT1B","CHKB-CPT1B","","","ENSG00000254413",NA,NA,"rs5770917-C","rs5770917",0,5770917,"intron_variant",0,"0.17",6e-08,7.22184874961636,"",1.63,"[1.37-1.95]","Affymetrix [249133]","N","narcolepsy with cataplexy","http://www.ebi.ac.uk/efo/EFO_0000614","GCST000236","Genome-wide genotyping array"
"5","CEP152","2013-11-29",23728906,"Byrne EM","2013-05-31","Am J Med Genet B Neuropsychiatr Genet","www.ncbi.nlm.nih.gov/pubmed/23728906","A genome-wide association study of sleep habits and insomnia.","Insomnia","2,267 European ancestry individuals",NA,"15q21.1",15,48700700,"CEP152","AC084757.4 - CEP152","ENSG00000273925","ENSG00000103995","",37644,12228,"rs2725544-C","rs2725544",0,2725544,"intergenic_variant",1,"0.23",2e-06,5.69897000433602,"",0.12,"[0.061-0.179] unit decrease","Illumina [2380486] (imputed)","N","insomnia, insomnia measurement","http://www.ebi.ac.uk/efo/EFO_0004698, http://www.ebi.ac.uk/efo/EFO_0007876","GCST002052","Genome-wide genotyping array"
"6","SATB2","2013-11-29",23728906,"Byrne EM","2013-05-31","Am J Med Genet B Neuropsychiatr Genet","www.ncbi.nlm.nih.gov/pubmed/23728906","A genome-wide association study of sleep habits and insomnia.","Insomnia","2,267 European ancestry individuals",NA,"2q33.1",2,199149760,"SATB2","AC018717.1 - RNU7-147P","ENSG00000230407","ENSG00000238698","",39672,41299,"rs12471454-T","rs12471454",0,12471454,"intergenic_variant",1,"0.41",6e-06,5.22184874961636,"",0.1,"[0.061-0.139] unit decrease","Illumina [2380486] (imputed)","N","insomnia, insomnia measurement","http://www.ebi.ac.uk/efo/EFO_0004698, http://www.ebi.ac.uk/efo/EFO_0007876","GCST002052","Genome-wide genotyping array"
"7","NCKAP5","2013-08-29",23646285,"Khor SS","2013-04-16","PeerJ","www.ncbi.nlm.nih.gov/pubmed/23646285","Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.","Hypersomnia (HLA-DQB1*06:02 negative)","125 Japanese ancestry cases, 562 Japanese ancestry controls","","2q21.2",2,133508430,"NCKAP5","NCKAP5","","","ENSG00000176771",NA,NA,"rs16826005-G","rs16826005",0,16826005,"intron_variant",0,"0.319",1e-07,7,"(recessive)",3.52,"[2.17-5.70]","Affymetrix [508366] (imputed)","N","hypersomnia","http://www.ebi.ac.uk/efo/EFO_0005246","GCST001971","Genome-wide genotyping array"
"8","SPRED1","2013-08-29",23646285,"Khor SS","2013-04-16","PeerJ","www.ncbi.nlm.nih.gov/pubmed/23646285","Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.","Hypersomnia (HLA-DQB1*06:02 negative)","125 Japanese ancestry cases, 562 Japanese ancestry controls","","15q14",15,38172673,"SPRED1","AC087473.1","","","ENSG00000259380",NA,NA,"rs16966389-G","rs16966389",0,16966389,"intron_variant",0,"0.642",7e-07,6.15490195998574,"(dominant)",2.73,"[1.82-4.10]","Affymetrix [508366] (imputed)","N","hypersomnia","http://www.ebi.ac.uk/efo/EFO_0005246","GCST001971","Genome-wide genotyping array"
"9","CART","2013-08-29",23646285,"Khor SS","2013-04-16","PeerJ","www.ncbi.nlm.nih.gov/pubmed/23646285","Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.","Hypersomnia (HLA-DQB1*06:02 negative)","125 Japanese ancestry cases, 562 Japanese ancestry controls","","9q34.11",9,129125837,"CART, PPP2R4","PTPA","","","ENSG00000119383",NA,NA,"rs10988217-G","rs10988217",0,10988217,"intron_variant",0,"0.233",3e-06,5.52287874528034,"(recessive)",3.85,"[2.11-7.04]","Affymetrix [508366] (imputed)","N","hypersomnia","http://www.ebi.ac.uk/efo/EFO_0005246","GCST001971","Genome-wide genotyping array"
"10","TAS2R1","2013-08-29",23646285,"Khor SS","2013-04-16","PeerJ","www.ncbi.nlm.nih.gov/pubmed/23646285","Genome-wide association study of HLA-DQB1*06:02 negative essential hypersomnia.","Hypersomnia (HLA-DQB1*06:02 negative)","125 Japanese ancestry cases, 562 Japanese ancestry controls","","5p15.31",5,9756217,"TAS2R1","LINC02112","","","ENSG00000249781",NA,NA,"rs7725217-C","rs7725217",0,7725217,"intron_variant",0,"0.223",1e-06,6,"(dominant)",2.66,"[1.78-3.98]","Affymetrix [508366] (imputed)","N","hypersomnia","http://www.ebi.ac.uk/efo/EFO_0005246","GCST001971","Genome-wide genotyping array"
"11","NRG1","2016-06-13",25325441,"Baik I","2015-07-01","Sleep","www.ncbi.nlm.nih.gov/pubmed/25325441","Associations of Sleep Apnea, NRG1 Polymorphisms, Alcohol Consumption, and Cerebral White Matter Hyperintensities: Analysis with Genome-Wide Association Data.","Obstructive sleep apnea","235 Korean ancestry cases, 235 Korean ancestry controls",NA,"8p12",8,32488779,"NRG1","NRG1","","","ENSG00000157168",NA,NA,"rs10097555-A","rs10097555",0,10097555,"intron_variant",0,"",5e-06,5.30102999566398,"(additive model)",2.5,"[1.67-3.7]","Affymetrix [319517] (imputed)","N","obstructive sleep apnea","http://www.ebi.ac.uk/efo/EFO_0003918","GCST003012","Genome-wide genotyping array"
"12","BX105115","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"6p25.2",6,3919326,"BX105115, RP1-140K8.2","AL590004.2 - AL590004.1","ENSG00000218472","ENSG00000217135","",5034,2521,"rs6906656-A","rs6906656",0,6906656,"TF_binding_site_variant",1,"NR",1e-07,7,"(Hispanic)",1.57,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"13","DEC1","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"9q33.1",9,115355120,"DEC1","DEC1, AL691420.1","","","ENSG00000173077, ENSG00000228714",NA,NA,"rs35796756-A","rs35796756",0,35796756,"intron_variant",0,"NR",8e-07,6.09691001300806,"(Hispanic)",2.89,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"14","AC107057.1","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"",NA,NA,"AC107057.1","","","","",NA,NA,"chr2:5693308-?","chr2:5693308",0,NA,"",1,"NR",1e-06,6,"",1.6666665,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"15","ANO6","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"12q12",12,45439972,"ANO6","ANO6","","","ENSG00000177119",NA,NA,"rs74081827-A","rs74081827",0,74081827,"3_prime_UTR_variant",0,"NR",7e-07,6.15490195998574,"(EA)",1.66,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"16","CACNA1D","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"3p21.1",3,53733862,"CACNA1D","CACNA1D","","","ENSG00000157388",NA,NA,"rs185334926-T","rs185334926",0,185334926,"intron_variant",0,"NR",5e-07,6.30102999566398,"(AA)",4.38,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"17","CTD-2535I10.1b","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"16p13.2",16,7905132,"CTD-2535I10.1b","AC093515.1 - AC018767.2","ENSG00000260289","ENSG00000260003","",10737,371131,"rs34670506-C","rs34670506",0,34670506,"intergenic_variant",1,"NR",2e-08,7.69897000433602,"(AA)",2.7027025,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"18","ENPP6","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4q35.1",4,184162053,"ENPP6","ENPP6","","","ENSG00000164303",NA,NA,"rs72699704-A","rs72699704",0,72699704,"intron_variant",0,"NR",2e-07,6.69897000433602,"(Hispanic)",1.67,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"19","EST","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"",NA,NA,"EST BE896471","","","","",NA,NA,"chr5:119118370-?","chr5:119118370",0,NA,"",1,"NR",3e-07,6.52287874528034,"(EA)",1.2195122,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"20","EST","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4q31.23",4,149900958,"EST CN411885","IQCM - RNA5SP167","ENSG00000234828","ENSG00000202331","",4725,6602,"rs56676520-A","rs56676520",0,56676520,"intergenic_variant",1,"NR",9e-07,6.04575749056067,"(EA)",1.5,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"21","g7907.t1a","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"18q22.3",18,73885569,"g7907.t1a","RN7SL401P - AC090125.1","ENSG00000241866","ENSG00000263655","",140337,28836,"rs76941679-G","rs76941679",0,76941679,"intergenic_variant",1,"NR",3e-07,6.52287874528034,"(AA)",2.2727273,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"22","IL15","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"",NA,NA,"IL15","","","","",NA,NA,"chr4:142518082-?","chr4:142518082",0,NA,"",1,"NR",9e-07,6.04575749056067,"",2.88,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"23","Intergenic","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"14q21.1",14,39899882,"Intergenic","AL049828.1","","","",NA,NA,"rs148431766-C","rs148431766",0,148431766,"intron_variant",0,"NR",2e-07,6.69897000433602,"(AA)",2.0833335,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"24","intergenic","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4q13.1",4,60483414,"intergenic","AC097655.1 - LINC02496","ENSG00000283043","ENSG00000249066","",444828,267172,"rs55710816-G","rs55710816",0,55710816,"regulatory_region_variant",1,"NR",9e-07,6.04575749056067,"(EA)",1.4285715,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"25","Intergenic","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"7q11.22",7,68334613,"Intergenic","AC093655.1 - AC004910.1","ENSG00000226829","ENSG00000228429","",46380,306185,"rs147549871-G","rs147549871",0,147549871,"intergenic_variant",1,"NR",5e-09,8.30102999566398,"(EA)",1.8518518,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"26","Intergenic","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4p15.33",4,12350898,"Intergenic","RNU6-578P - ECM1P2","ENSG00000212282","ENSG00000249995","",38208,288188,"rs111858442-G","rs111858442",0,111858442,"intergenic_variant",1,"NR",4e-07,6.39794000867204,"",2.2727273,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"27","Intergenic","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"2q14.3",2,128986770,"Intergenic","AC012451.1 - AC068483.1","ENSG00000237532","ENSG00000238277","",405194,77076,"rs13013037-A","rs13013037",0,13013037,"regulatory_region_variant",1,"NR",7e-07,6.15490195998574,"(Hispanic)",1.68,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"28","Intergenic","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"7q11.22",7,68450298,"Intergenic","AC093655.1 - AC004910.1","ENSG00000226829","ENSG00000228429","",162065,190500,"rs60353720-A","rs60353720",0,60353720,"intergenic_variant",1,"NR",3e-06,5.52287874528034,"",1.1717,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"29","LINC00917","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"16q24.1",16,86386755,"LINC00917","LINC00917 - AC092327.1","ENSG00000168367","ENSG00000268473","",37072,48075,"rs1687657-T","rs1687657",0,1687657,"intergenic_variant",1,"NR",3e-07,6.52287874528034,"(Hispanic)",2.34,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
"30","LINC00989","2018-05-08",29520036,"Stein MB","2018-03-08","Mol Psychiatry","www.ncbi.nlm.nih.gov/pubmed/29520036","Genome-wide analysis of insomnia disorder.","Insomnia","2,297 European American cases, 334 African American cases, 606 Latino American cases, 9,176 European American controls, 2,345 African American controls, 2,893 Latino American controls",NA,"4q21.21",4,79513892,"LINC00989","LINC00989","","","ENSG00000250334",NA,NA,"rs58777020-T","rs58777020",0,58777020,"non_coding_transcript_exon_variant",0,"NR",6e-07,6.22184874961636,"",2.84,"","Illumina [at least 360704] (imputed)","N","insomnia","http://www.ebi.ac.uk/efo/EFO_0004698","GCST005566","Genome-wide genotyping array"
